,targetNumber,targetText
1076,1076,"The focus is on securing sustainable livelihoods through programmes that emphasize diversifying crop cultivation to enhance food security and nutritional intake, generating supplementary income through skills development in non-farm livelihood activities, and building social capital through formation of self-help groups for mutual collaboration."
1077,1077,EL EV EN TH P LA N 04 124 Eleventh Five Year Plan - Main Document Volume I The beneficiary villages were selected based on the village poverty profile submitted by the Dzongkhags.
1078,1078,The targeted poverty intervention programme is formulated based on the socio-economic surveys of the village carried out by the GNHC.
1079,1079,"REAP Phase I was implemented during the Tenth Plan where targeted support was provided to the villages of Thangdokha, Dramekha and Ngatsena in Haa; Sanu Dungtoe in Samtse, Mandokha and Choleykha in Chhukha; Lopokha (additional villages of Shoba, Nazhina, Lawa, Lamga, Megteyna, Samthang and Rukha under Athang Gewog benefited under the eco-tourism activities) in Wangduephodrang; Lauri in Samdrupjongkhar; Ungar in Lhuentse; Samcholing in Trongsa; Reti in Sarpang; Lamtang in Zhemgang and Pam & Chaibi in Mongar."
1080,1080,An evaluation of REAP I is currently being conducted and will inform the next phase of REAP II which will be implemented in the Eleventh plan.
1081,1081,About 109 poorest villages have been identified across all twenty Dzongkhags.
1082,1082,"At the same time, efforts are being made to identify and formulate special poverty alleviation interventions for all the households living under the poverty line."
1083,1083,National Rehabilitation Programme (NRP) is a programme initiated and spearheaded by the Office of Gyalpoi Zimpon in collaboration with a number of government agencies.
1084,1084,"The main objective of the programme is to reduce poverty by enhancing the productive asset base of the beneficiaries through provision of adequate land, transitional & livelihood support and socio-economic facilities."
1085,1085,The beneficiaries include the landless and socio-economically disadvantaged groups.
1086,1086,"Under the programme, the beneficiaries are provided with a minimum of 0.5 acres of land as residential land and a maximum of 5 acres (including residential land) depending on criteria such as: family size; number of domicile members; number of able bodied persons; land capability; distance to urban centre; and type of urban centre."
1087,1087,"In addition, transition support such as temporary shelter, essential food supplies in the initial phase of resettlement, agricultural inputs, health and education services, income generating support for sustainable livelihoods and housing construction support are provided."
1088,1088,"The programme was initiated in the Tenth Plan and till date NRP at Khenadrang, Pemagatshel with 44 households has been completed."
1089,1089,"Rehabilitation programme at Nye, Lhuentse (55 households); Bebji, Haa 125 Eleventh Five Year Plan - Main Document Volume I (83 households); Borangmo, Nganglam (51 households) and Dawathang, Samdrup Jongkhar (31 households) are ongoing while feasibility studies and planning for Serzhong (Tsirang) and Tanzama (Nganglam) respectively, have been initiated."
1090,1090,"Local Government Empowerment Programme (LGEP) to enhance decision making capacity and improve service delivery through provision of essential equipment, machinery, Nu."
1091,1091,2 million per year per Gewog and other common resources.
1092,1092,"Special Programme for vulnerable groups caters to the needs of vulnerable groups such as senior citizens, single parents, differently-abled persons, and vulnerable children and youth."
1093,1093,A study will be conducted to determine the baselines and targets based on which appropriate interventions will be formulated.
1094,1094,"Targeted Health and Education Interventions - to improve health and education outcomes, including through innovative mechanisms to reach the unreached, will be developed for Dzongkhags with poor health and education outcomes."
1095,1095,"Rationalization and consolidation of education facilities will be explored to improve teacher to pupil ratio, educational facilities, address issues of informal boarding and for optimum utilization of resources."
1096,1096,"Similarly, in the health sector, programmes to reduce waiting time by improving doctor to patient ratio, improving medical facilities, and enhance the use of IT enabled services will be pursued."
1097,1097,"4.4.2 Green Accelerated Economic Development Our economy is predominantly driven by the hydropower sector, is highly aid dependent and heavily reliant on imports for both consumption and capital goods needs."
1098,1098,The government continues to play the role of provider rather than enabler due to a small and underdeveloped private sector despite more than two decades of private sector development as an engine of economic growth slogan.
1099,1099,"Therefore, the emphasis of this thrust area will be economic diversification with a focus on development of non-hydropower sectors and fostering the growth of a dynamic private sector that catalyzes a transition to a green economy."
1100,1100,"Key attributes of a green economy include low carbon emissions, efficient and sustainable resource use, and socially inclusive economic growth and investments, which are closely aligned with our development planning framework."
1101,1101,EL EV EN TH P LA N 04 126 Eleventh Five Year Plan - Main Document Volume I The performance under this thrust area will be broadly assessed against the achievement of the Eleventh Plan goal of Self-Reliance as defined above.
1102,1102,"Key performance indicators to gauge our performance under this thrust area include annual economic growth, fiscal deficit, inflation, priority sector lending, exports, employment, food self-sufficiency and total expenditure financed through domestic revenue."
1103,1103,"However, in keeping with international best practices, these indicators will be adjusted using the GNH Policy Screening tool, GNH Index and Strategic Environment Assessments (SEAs) to incorporate broader environmental and social criteria which are critical for achieving the objective of a transition to a green economy."
1104,1104,The main programmes for this thrust area include: Economic Stimulus Programme- Economic Stimulus Programme of Nu.
1105,1105,5 billion will be implemented to inject liquidity in the financial institutions to address the present credit crunch problems and make finances available for productive sectors.
1106,1106,Rapid Investment in Selected Enterprises (RISE) Programme The flagship programme to accelerate economic growth and achieve the objective of self reliance will be the RISE programme.
1107,1107,"The Government, in consultation with the relevant stakeholders, will identify 4-5 non-hydro priority sectors for end-to-end intervention in the Eleventh Plan."
1108,1108,"The selection of priority sectors will be based on three filters of i) employment generation, ii) revenues to the government, and iii) returns to the entrepreneurs."
1109,1109,"Tentatively, the sectors identified are tourism, agro-processing, construction, small and cottage industries including cultural industries such as textiles, arts and crafts and manufacturing/mining."
1110,1110,The focus of Tourism sector will be to achieve higher yields per tourist as well as double the arrivals but spread across the country and throughout the calendar year.
1111,1111,"The initiative will emphasize on strengthening tourism governance, developing new products, facilitating development of tourist infrastructure/amenities in south, central and eastern Bhutan and aggressive destination promotion and marketing with the aim of ensuring at least 20 percent of the tourists visit eastern part of the country."
1112,1112,"The emphasis will be on developing Agro-processing industries particularly cottage, small and medium type industries aimed at improving farmers income, import substitution and export promotion, promoting commercial farming and employment."
1113,1113,127 Eleventh Five Year Plan - Main Document Volume I The interventions will be directed towards making Construction sector an attractive sector for employment.
1114,1114,"With seven new mega hydroelectric projects scheduled to start construction in the Eleventh Plan, the sector provides an excellent opportunity to realize the goal of full employment."
1115,1115,"However, many of these jobs are manual in nature and currently filled by foreign workers as Bhutanese youth prefer white collar jobs."
1116,1116,"Therefore, efforts to mechanize the construction industry, improve working conditions and facilitate better remunerations through initiatives that enhance productivity (such as specialization, multi-skilling and multi-tasking) will be pursued to attract more youth to seek jobs in the construction sector."
1117,1117,"In addition, improving the quality of construction industry through innovative construction technology, promoting use of local materials to reduce imports of construction materials and capacity strengthening of local construction industries to participate in large infrastructure projects will be undertaken."
